school_id,name,source,school_type,ownership,state,lon,lat,enrolment,teachers,teacher_student_ratio,performance_score,performance_class,dropout_rate,dropout_risk,facilities_score,internet_access,electricity,toilets_per_100,dist_to_town_km,socioeconomic_idx,waec_pass_rate,urban_weight,poverty_index,literacy_rate,pred_score,pred_perf_cls,pred_dropout,perf_color,drop_color
36,King's and Queen's Education Centre,OSM,Primary,Public,Edo,5.629554,6.366627,636,10,0.0157,50.5,Medium,14.21,Medium Risk,5.43,0,1,1.5,1.95,0.6117,68.69,0.62,0.28,0.82,66.03,High,Medium Risk,#1a9850,#fc8d59
37,Oxonian Grand Academy,OSM,Primary,Mission/Faith-based,Edo,5.628702,6.369736,214,5,0.0234,49.05,Low,26.1,High Risk,3.47,1,0,2.44,1.28,0.6834,77.08,0.62,0.28,0.82,65.38,High,Medium Risk,#1a9850,#fc8d59
38,Unicent Group of Schools,OSM,Primary,Public,Edo,5.635442,6.367513,421,9,0.0214,63.42,Medium,17.84,Medium Risk,5.21,0,1,1.4,3.21,0.712,72.73,0.62,0.28,0.82,66.14,Medium,Medium Risk,#fee08b,#fc8d59
39,government science and tecnology,OSM,Senior Secondary,Mission/Faith-based,Edo,5.629915,6.382418,297,11,0.037,72.07,High,26.76,High Risk,4.3,1,1,1.75,0.92,0.9465,65.78,0.62,0.28,0.82,67.26,Medium,Medium Risk,#fee08b,#fc8d59
40,Blessed St. Paul Memorial Group of Schools,OSM,Primary,Public,Edo,5.58701,6.365575,571,17,0.0298,99.0,High,28.41,High Risk,7.41,1,1,1.75,0.95,0.7173,53.3,0.62,0.28,0.82,66.68,High,Medium Risk,#1a9850,#fc8d59
41,Destiny Education Centre,OSM,Primary,Mission/Faith-based,Edo,5.586712,6.371252,720,25,0.0347,64.6,Medium,30.17,High Risk,8.69,0,1,3.74,0.27,0.6944,48.78,0.62,0.28,0.82,66.28,High,Medium Risk,#1a9850,#fc8d59
42,Divine Light Group of Schools,OSM,Junior Secondary,Public,Edo,5.572296,6.356131,216,8,0.037,56.89,Medium,20.54,Medium Risk,3.88,0,1,2.0,1.49,0.809,68.77,0.62,0.28,0.82,65.67,Medium,Medium Risk,#fee08b,#fc8d59
43,EWEKA PRIMARY SCHOOL,OSM,Primary,Public,Edo,5.582934,6.362561,415,14,0.0337,70.71,High,19.57,Medium Risk,8.19,1,0,3.95,0.41,0.7057,42.45,0.62,0.28,0.82,69.07,High,Medium Risk,#1a9850,#fc8d59
44,Imuagbonhen Memoral School,OSM,Primary,Public,Edo,5.575063,6.361855,528,11,0.0208,72.36,High,14.6,Medium Risk,9.3,1,1,2.55,0.29,0.8826,60.87,0.62,0.28,0.82,67.7,High,Medium Risk,#1a9850,#fc8d59
45,Jayfield Int'l high School,OSM,Primary,Private,Edo,5.568687,6.365404,564,21,0.0372,41.04,Low,15.31,Medium Risk,6.88,1,1,2.92,2.7,0.8988,83.34,0.62,0.28,0.82,68.5,High,Medium Risk,#1a9850,#fc8d59
46,Learn Well International Group of Schools,OSM,Primary,Private,Edo,5.581479,6.36408,427,10,0.0234,75.43,High,17.83,Medium Risk,3.31,1,0,2.34,1.16,0.7144,46.07,0.62,0.28,0.82,65.52,Medium,Medium Risk,#fee08b,#fc8d59
47,New Life In Christ Group of Schools,OSM,Primary,Private,Edo,5.578038,6.362815,279,8,0.0287,67.83,Medium,23.8,Medium Risk,6.98,1,0,3.28,1.98,0.6945,73.51,0.62,0.28,0.82,69.27,High,Medium Risk,#1a9850,#fc8d59
48,Standard School,OSM,Senior Secondary,Private,Edo,5.588697,6.363399,388,15,0.0387,64.85,Medium,21.24,Medium Risk,7.87,1,1,2.65,2.87,0.7472,91.96,0.62,0.28,0.82,68.79,High,Medium Risk,#1a9850,#fc8d59
49,St. Phillips Education School,OSM,Senior Secondary,Public,Edo,5.576699,6.361707,414,14,0.0338,59.57,Medium,21.28,Medium Risk,6.43,0,1,3.46,0.58,0.6762,61.83,0.62,0.28,0.82,63.07,High,Medium Risk,#1a9850,#fc8d59
50,Useh Primary Health Care,OSM,Senior Secondary,Public,Edo,5.5784,6.366769,232,3,0.0129,66.87,Medium,37.04,High Risk,5.29,0,0,2.92,2.46,0.807,52.42,0.62,0.28,0.82,64.1,High,Medium Risk,#1a9850,#fc8d59
51,Ayela Uwangue School,OSM,Junior Secondary,Public,Edo,5.626251,6.359844,368,13,0.0353,63.62,Medium,26.73,High Risk,5.21,0,1,3.09,0.11,0.8891,60.78,0.62,0.28,0.82,66.5,High,Medium Risk,#1a9850,#fc8d59
52,Bravura Secondary School,OSM,Primary,Public,Edo,5.631597,6.363162,608,7,0.0115,61.94,Medium,26.43,High Risk,4.62,1,1,3.26,0.3,0.7813,49.73,0.62,0.28,0.82,66.32,Medium,Medium Risk,#fee08b,#fc8d59
53,Unicent Group of School,OSM,Primary,Mission/Faith-based,Edo,5.63183,6.361225,639,9,0.0141,52.49,Medium,27.11,High Risk,4.72,1,0,1.89,1.4,0.7142,71.76,0.62,0.28,0.82,65.07,High,Medium Risk,#1a9850,#fc8d59
54,Utimate Schools,OSM,Junior Secondary,Public,Edo,5.633447,6.3827,339,12,0.0354,95.54,High,17.2,Medium Risk,4.74,1,1,3.2,1.02,0.6642,72.58,0.62,0.28,0.82,67.08,High,Medium Risk,#1a9850,#fc8d59
55,Christ for All Ministry,OSM,Primary,Private,Edo,5.585962,6.36654,472,15,0.0318,80.7,High,12.78,Medium Risk,8.03,1,1,3.74,0.53,0.7919,77.56,0.62,0.28,0.82,70.33,High,Medium Risk,#1a9850,#fc8d59
56,Dominion Children Academy,OSM,Primary,Private,Edo,5.581691,6.360944,445,11,0.0247,80.47,High,15.61,Medium Risk,6.08,1,1,3.3,4.53,0.8146,60.75,0.62,0.28,0.82,67.05,High,Medium Risk,#1a9850,#fc8d59
57,Eweka Primary School,OSM,Primary,Mission/Faith-based,Edo,5.583084,6.362636,422,15,0.0355,56.25,Medium,16.74,Medium Risk,6.26,1,1,2.05,1.15,0.8031,68.07,0.62,0.28,0.82,67.12,High,Medium Risk,#1a9850,#fc8d59
58,Goberts School,OSM,Senior Secondary,Public,Edo,5.583477,6.365905,303,15,0.0495,66.07,Medium,24.2,Medium Risk,8.36,1,1,3.51,3.6,0.7838,74.73,0.62,0.28,0.82,71.43,High,Medium Risk,#1a9850,#fc8d59
59,St Paul Memorial Secondary School,OSM,Primary,Public,Edo,5.586415,6.365614,519,11,0.0212,69.6,Medium,15.39,Medium Risk,4.42,1,1,2.65,4.61,0.8076,84.26,0.62,0.28,0.82,66.57,High,Medium Risk,#1a9850,#fc8d59
60,UNIFAC Group of School,OSM,Junior Secondary,Private,Edo,5.584804,6.36024,173,4,0.0231,63.2,Medium,19.06,Medium Risk,6.1,1,1,2.82,0.68,0.9161,66.26,0.62,0.28,0.82,66.34,High,Medium Risk,#1a9850,#fc8d59
61,Benhill Vocational Training Centre,OSM,Primary,Public,Edo,5.623212,6.317907,774,20,0.0258,65.84,Medium,23.93,Medium Risk,4.26,1,1,2.41,0.81,0.7468,73.16,0.62,0.28,0.82,64.93,High,Medium Risk,#1a9850,#fc8d59
62,Command Children School,OSM,Primary,Private,Edo,5.620225,6.312518,759,21,0.0277,52.0,Medium,18.24,Medium Risk,7.57,1,1,3.5,0.9,0.6501,76.13,0.62,0.28,0.82,66.42,Medium,Medium Risk,#fee08b,#fc8d59
63,Early Days Creche,OSM,Primary,Private,Edo,5.625998,6.313208,603,19,0.0315,86.14,High,25.61,High Risk,6.52,1,0,1.97,5.77,0.8638,81.53,0.62,0.28,0.82,70.99,High,Medium Risk,#1a9850,#fc8d59
64,Ebenezer Schools,OSM,Primary,Private,Edo,5.618255,6.308887,553,14,0.0253,84.25,High,19.89,Medium Risk,8.03,1,1,2.85,0.52,0.6778,98.0,0.62,0.28,0.82,67.4,High,Medium Risk,#1a9850,#fc8d59
65,F.s.p Creche Nusary and primary School,OSM,Junior Secondary,Public,Edo,5.623325,6.312345,390,7,0.0179,56.89,Medium,29.07,High Risk,5.53,1,1,3.05,4.08,0.8533,70.23,0.62,0.28,0.82,65.85,High,Medium Risk,#1a9850,#fc8d59
66,Fresh Olive School,OSM,Senior Secondary,Mission/Faith-based,Edo,5.622323,6.308847,409,13,0.0318,58.58,Medium,11.43,Low Risk,4.46,1,0,3.12,0.55,0.752,57.45,0.62,0.28,0.82,66.65,High,Medium Risk,#1a9850,#fc8d59
67,Inomwan Fundation Secondary School,OSM,Primary,Public,Edo,5.626998,6.310765,232,4,0.0172,51.85,Medium,27.91,High Risk,6.6,0,1,2.71,1.9,0.8987,93.84,0.62,0.28,0.82,67.25,High,Medium Risk,#1a9850,#fc8d59
68,Inomwan Fundation Secondary School,OSM,Primary,Public,Edo,5.627563,6.311079,423,10,0.0236,71.36,High,20.19,Medium Risk,7.26,0,1,2.67,3.38,0.7115,58.97,0.62,0.28,0.82,66.92,High,Medium Risk,#1a9850,#fc8d59
69,Metropolitan Institute of Technology,OSM,Primary,Public,Edo,5.625294,6.304569,379,11,0.029,60.35,Medium,25.78,High Risk,5.55,0,1,2.78,0.18,0.6071,50.66,0.62,0.28,0.82,65.14,High,Medium Risk,#1a9850,#fc8d59
70,Nigeria Institute of Management,OSM,Primary,Private,Edo,5.622664,6.307145,379,10,0.0264,79.04,High,13.45,Medium Risk,6.6,1,1,3.41,3.48,0.9144,62.54,0.62,0.28,0.82,67.84,High,Medium Risk,#1a9850,#fc8d59
71,Redeemer Int. Group of School,OSM,Junior Secondary,Public,Edo,5.62634,6.306267,373,14,0.0375,75.9,High,26.44,High Risk,6.36,0,1,3.02,1.93,0.7171,76.73,0.62,0.28,0.82,64.31,High,Medium Risk,#1a9850,#fc8d59
72,St Mary Dedidcation Brithish School,OSM,Senior Secondary,Private,Edo,5.627816,6.311777,275,8,0.0291,62.43,Medium,22.71,Medium Risk,6.67,1,1,3.47,1.92,0.7845,80.87,0.62,0.28,0.82,68.44,High,Medium Risk,#1a9850,#fc8d59
73,"Federal government college, Ibillo",OSM,Primary,Private,Edo,6.059938,7.448418,695,20,0.0288,73.9,High,17.68,Medium Risk,6.48,0,1,2.94,5.54,0.7374,82.43,0.62,0.28,0.82,64.44,Medium,Medium Risk,#fee08b,#fc8d59
74,"Ibillo primary school, Ibillo",OSM,Primary,Private,Edo,6.07139,7.435738,511,12,0.0235,85.04,High,11.08,Low Risk,7.18,1,1,2.67,0.78,0.9386,78.53,0.62,0.28,0.82,66.21,High,Medium Risk,#1a9850,#fc8d59
75,"Oyekpa primary school, Ekpesa",OSM,Junior Secondary,Public,Edo,6.073612,7.424097,211,3,0.0142,69.98,Medium,21.48,Medium Risk,6.81,1,0,3.52,0.33,0.847,68.03,0.62,0.28,0.82,65.84,High,Medium Risk,#1a9850,#fc8d59
76,Abundant Grace School,OSM,Primary,Private,Edo,5.609752,6.308144,287,6,0.0209,70.15,High,21.6,Medium Risk,5.56,1,1,2.28,0.92,0.7738,96.28,0.62,0.28,0.82,66.69,High,Medium Risk,#1a9850,#fc8d59
77,Airforce Pry Sch,OSM,Tertiary,Public,Edo,5.591959,6.30207,1438,89,0.0619,77.54,High,26.36,High Risk,3.71,1,0,2.4,1.92,0.773,91.12,0.62,0.28,0.82,73.52,High,Medium Risk,#1a9850,#fc8d59
78,Amena International School,OSM,Primary,Public,Edo,5.600574,6.30602,401,16,0.0399,64.22,Medium,15.57,Medium Risk,2.74,0,1,2.33,1.21,0.7368,33.16,0.62,0.28,0.82,64.69,High,Medium Risk,#1a9850,#fc8d59
79,Arinze Primary School,OSM,Junior Secondary,Public,Edo,5.632246,6.321686,426,16,0.0376,53.1,Medium,22.85,Medium Risk,8.73,0,1,3.23,0.1,0.8028,38.89,0.62,0.28,0.82,65.87,High,Medium Risk,#1a9850,#fc8d59
80,Bro Pius School,OSM,Primary,Public,Edo,5.612881,6.328231,357,9,0.0252,86.27,High,27.41,High Risk,4.38,1,1,2.15,2.45,0.788,59.82,0.62,0.28,0.82,66.66,High,Medium Risk,#1a9850,#fc8d59
81,Chara Montessori School,OSM,Junior Secondary,Private,Edo,5.603497,6.311224,436,18,0.0413,83.29,High,16.08,Medium Risk,6.8,1,1,3.33,1.49,0.745,82.59,0.62,0.28,0.82,68.72,High,Medium Risk,#1a9850,#fc8d59
82,Diamond School Academy,OSM,Primary,Public,Edo,5.603963,6.305052,353,8,0.0227,72.12,High,29.24,High Risk,7.72,1,0,3.26,7.36,0.6692,77.98,0.62,0.28,0.82,70.12,High,Medium Risk,#1a9850,#fc8d59
83,Ekhaguere Primary School,OSM,Junior Secondary,Public,Edo,5.600429,6.295617,455,15,0.033,75.89,High,27.82,High Risk,3.29,0,1,1.43,4.04,0.6258,98.0,0.62,0.28,0.82,63.99,High,Medium Risk,#1a9850,#fc8d59
84,Emanuel Foundation School,OSM,Junior Secondary,Public,Edo,5.597479,6.307666,193,5,0.0259,74.31,High,23.92,Medium Risk,7.34,0,1,3.66,2.52,0.8144,65.15,0.62,0.28,0.82,63.69,High,Medium Risk,#1a9850,#fc8d59
85,Esonere model primary school/Gaorge Idah,OSM,Primary,Public,Edo,5.615318,6.310092,472,17,0.036,37.89,Low,24.96,Medium Risk,4.58,0,1,1.86,2.14,0.8928,58.9,0.62,0.28,0.82,65.6,High,Medium Risk,#1a9850,#fc8d59
86,Esonere model primary school/Gaorge Idah,OSM,Primary,Mission/Faith-based,Edo,5.614926,6.310195,283,7,0.0247,39.56,Low,25.53,High Risk,2.79,0,1,1.84,0.37,0.8667,87.86,0.62,0.28,0.82,62.2,Medium,Medium Risk,#fee08b,#fc8d59
87,Ezoti Primary School,OSM,Primary,Private,Edo,5.6167,6.328377,542,20,0.0369,67.06,Medium,20.72,Medium Risk,6.52,1,0,2.78,0.1,0.7689,64.0,0.62,0.28,0.82,67.84,High,Medium Risk,#1a9850,#fc8d59
88,Favour Group Of School,OSM,Tertiary,Public,Edo,5.630474,6.33263,1103,61,0.0553,72.37,High,26.6,High Risk,6.62,1,1,1.38,0.3,0.6882,79.18,0.62,0.28,0.82,73.16,High,Medium Risk,#1a9850,#fc8d59
89,Great Oxford Int. Group Of Schools,OSM,Junior Secondary,Mission/Faith-based,Edo,5.632584,6.326564,377,11,0.0292,77.58,High,22.13,Medium Risk,6.43,0,1,3.03,1.38,0.8783,74.13,0.62,0.28,0.82,65.85,High,Medium Risk,#1a9850,#fc8d59
90,Greter Tomorow Secondary School,OSM,Junior Secondary,Public,Edo,5.604831,6.301557,369,14,0.0379,51.78,Medium,27.26,High Risk,7.57,1,1,2.44,14.88,0.8825,65.73,0.62,0.28,0.82,70.14,High,Medium Risk,#1a9850,#fc8d59
91,Greter tomorro nurstry and primary school,OSM,Senior Secondary,Public,Edo,5.617772,6.310184,354,15,0.0424,44.48,Low,19.27,Medium Risk,6.02,0,1,3.05,3.41,0.794,54.09,0.62,0.28,0.82,65.99,High,Medium Risk,#1a9850,#fc8d59
92,Holy Mary Comprehensive College,OSM,Primary,Public,Edo,5.631012,6.323513,320,5,0.0156,54.08,Medium,31.26,High Risk,4.17,1,1,1.67,1.85,0.891,92.53,0.62,0.28,0.82,65.8,High,Medium Risk,#1a9850,#fc8d59
93,Jessilac Montesory School,OSM,Primary,Public,Edo,5.596605,6.288637,501,18,0.0359,59.25,Medium,23.18,Medium Risk,3.04,0,1,1.29,1.87,0.85,78.15,0.62,0.28,0.82,62.96,Medium,Medium Risk,#fee08b,#fc8d59
94,Jessilac Montessory School,OSM,Junior Secondary,Mission/Faith-based,Edo,5.596665,6.288777,326,12,0.0368,62.43,Medium,25.57,High Risk,2.59,1,1,1.97,3.25,0.5908,75.47,0.62,0.28,0.82,66.59,Medium,Medium Risk,#fee08b,#fc8d59
95,Kenzia Group of School,OSM,Junior Secondary,Private,Edo,5.586342,6.297652,292,6,0.0205,69.09,Medium,19.17,Medium Risk,6.78,1,1,2.19,0.59,0.78,87.81,0.62,0.28,0.82,67.41,High,Medium Risk,#1a9850,#fc8d59
96,Lovers of Christ Academy,OSM,Senior Secondary,Public,Edo,5.612333,6.307346,317,11,0.0347,66.17,Medium,26.95,High Risk,4.7,1,1,2.64,1.06,0.6576,59.13,0.62,0.28,0.82,66.84,High,Medium Risk,#1a9850,#fc8d59
97,Milkon institute of information technology,OSM,Senior Secondary,Public,Edo,5.615631,6.313098,282,14,0.0496,56.62,Medium,25.24,High Risk,8.46,1,0,2.57,3.97,0.7635,67.57,0.62,0.28,0.82,68.79,High,Medium Risk,#1a9850,#fc8d59
98,Imaguero College,OSM,Primary,Private,Edo,5.627769,6.322462,623,27,0.0433,64.01,Medium,12.94,Medium Risk,7.1,1,1,2.92,1.04,0.9498,71.22,0.62,0.28,0.82,69.27,High,Medium Risk,#1a9850,#fc8d59
99,Ogbe Primary School,OSM,Junior Secondary,Mission/Faith-based,Edo,5.616384,6.330121,405,20,0.0494,60.15,Medium,21.75,Medium Risk,3.47,1,1,1.84,1.46,0.8054,46.18,0.62,0.28,0.82,66.14,Medium,Medium Risk,#fee08b,#fc8d59
100,Phelim School,OSM,Senior Secondary,Private,Edo,5.619727,6.303032,139,6,0.0432,85.43,High,14.54,Medium Risk,7.67,1,1,4.01,1.65,0.6829,88.96,0.62,0.28,0.82,70.4,High,Medium Risk,#1a9850,#fc8d59
101,South Point Royal School,OSM,Primary,Public,Edo,5.613029,6.322755,706,18,0.0255,80.47,High,18.12,Medium Risk,3.49,0,0,2.04,1.55,0.7895,87.93,0.62,0.28,0.82,63.51,Medium,Medium Risk,#fee08b,#fc8d59
102,The Grange Creach,OSM,Junior Secondary,Public,Edo,5.618809,6.304589,300,11,0.0367,70.74,High,26.93,High Risk,3.95,1,0,1.62,1.61,0.6972,45.5,0.62,0.28,0.82,67.64,Medium,Medium Risk,#fee08b,#fc8d59
103,Uvbi Primary School,OSM,Primary,Private,Edo,5.634085,6.327669,606,17,0.0281,73.72,High,20.3,Medium Risk,6.75,1,0,2.8,4.05,0.8388,88.51,0.62,0.28,0.82,69.07,High,Medium Risk,#1a9850,#fc8d59
104,Uwa Primary School,OSM,Primary,Public,Edo,5.633653,6.329603,332,8,0.0241,52.26,Medium,31.12,High Risk,6.75,1,0,3.09,5.12,1.0,65.02,0.62,0.28,0.82,66.49,High,Medium Risk,#1a9850,#fc8d59
105,Winrose Group Of School,OSM,Senior Secondary,Public,Edo,5.632357,6.319991,94,3,0.0319,60.24,Medium,17.77,Medium Risk,5.21,0,1,2.81,0.75,0.4932,73.92,0.62,0.28,0.82,64.42,Medium,Medium Risk,#fee08b,#fc8d59
